source_ra,cf_name,alias_of,URL
CIOOS Atlantic,air_pressure,,https://cioosatlantic.ca/erddap/categorize/keywords/air_pressure/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,depth,,https://cioosatlantic.ca/erddap/categorize/keywords/depth/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,height,,https://cioosatlantic.ca/erddap/categorize/keywords/height/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,latitude,,https://cioosatlantic.ca/erddap/categorize/keywords/latitude/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,longitude,,https://cioosatlantic.ca/erddap/categorize/keywords/longitude/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,sea_surface_swell_wave_period,,https://cioosatlantic.ca/erddap/categorize/keywords/sea_surface_swell_wave_period/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,sea_surface_wave_significant_height,,https://cioosatlantic.ca/erddap/categorize/keywords/sea_surface_wave_significant_height/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,sea_surface_wave_to_direction,,https://cioosatlantic.ca/erddap/categorize/keywords/sea_surface_wave_to_direction/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,sea_water_electrical_conductivity,,https://cioosatlantic.ca/erddap/categorize/keywords/sea_water_electrical_conductivity/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,sea_water_practical_salinity,,https://cioosatlantic.ca/erddap/categorize/keywords/sea_water_practical_salinity/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,sea_water_salinity,,https://cioosatlantic.ca/erddap/categorize/keywords/sea_water_salinity/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,source,,https://cioosatlantic.ca/erddap/categorize/keywords/source/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,surface_air_pressure,,https://cioosatlantic.ca/erddap/categorize/keywords/surface_air_pressure/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,time,,https://cioosatlantic.ca/erddap/categorize/keywords/time/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,wind_from_direction,,https://cioosatlantic.ca/erddap/categorize/keywords/wind_from_direction/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,wind_speed,,https://cioosatlantic.ca/erddap/categorize/keywords/wind_speed/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,wind_speed_of_gust,,https://cioosatlantic.ca/erddap/categorize/keywords/wind_speed_of_gust/index.csv?page=1&itemsPerPage=1000
CIOOS Atlantic,sea_surface_height,sea_surface_height_above_mean_sea_level,https://cioosatlantic.ca/erddap/categorize/keywords/sea_surface_height/index.csv?page=1&itemsPerPage=1000
CIOOS SLGO,depth,,https://erddap.preprod.ogsl.ca/erddap/categorize/keywords/depth/index.csv?page=1&itemsPerPage=1000
CIOOS SLGO,sea_water_practical_salinity,,https://erddap.preprod.ogsl.ca/erddap/categorize/keywords/sea_water_practical_salinity/index.csv?page=1&itemsPerPage=1000
CIOOS SLGO,time,,https://erddap.preprod.ogsl.ca/erddap/categorize/keywords/time/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,depth,,https://data.cioospacific.ca/erddap/categorize/keywords/depth/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,eastward_sea_water_velocity,,https://data.cioospacific.ca/erddap/categorize/keywords/eastward_sea_water_velocity/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,height,,https://data.cioospacific.ca/erddap/categorize/keywords/height/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,latitude,,https://data.cioospacific.ca/erddap/categorize/keywords/latitude/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,longitude,,https://data.cioospacific.ca/erddap/categorize/keywords/longitude/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,northward_sea_water_velocity,,https://data.cioospacific.ca/erddap/categorize/keywords/northward_sea_water_velocity/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,platform_name,,https://data.cioospacific.ca/erddap/categorize/keywords/platform_name/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,sea_water_pressure,,https://data.cioospacific.ca/erddap/categorize/keywords/sea_water_pressure/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,source,,https://data.cioospacific.ca/erddap/categorize/keywords/source/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,speed_of_sound_in_sea_water,,https://data.cioospacific.ca/erddap/categorize/keywords/speed_of_sound_in_sea_water/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,time,,https://data.cioospacific.ca/erddap/categorize/keywords/time/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,upward_sea_water_velocity,,https://data.cioospacific.ca/erddap/categorize/keywords/upward_sea_water_velocity/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,wave_frequency,,https://data.cioospacific.ca/erddap/categorize/keywords/wave_frequency/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,wind_speed,,https://data.cioospacific.ca/erddap/categorize/keywords/wind_speed/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,platform_pitch_angle,platform_pitch,https://data.cioospacific.ca/erddap/categorize/keywords/platform_pitch_angle/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,platform_roll_angle,platform_roll,https://data.cioospacific.ca/erddap/categorize/keywords/platform_roll_angle/index.csv?page=1&itemsPerPage=1000
CIOOS Pacific,sea_surface_height,sea_surface_height_above_mean_sea_level,https://data.cioospacific.ca/erddap/categorize/keywords/sea_surface_height/index.csv?page=1&itemsPerPage=1000
