,@id,prefLabel,udunits
0,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/,Centimetres,cm
1,http://vocab.nerc.ac.uk/collection/P06/current/UMMD/,Micromoles per litre per day,umol l-1 day-1
2,http://vocab.nerc.ac.uk/collection/P06/current/UWBQ/,Microbecquerels per kilogram,uBq kg-1
3,http://vocab.nerc.ac.uk/collection/P06/current/M2SX/,Square metre seconds,m2 s
4,http://vocab.nerc.ac.uk/collection/P06/current/UMIC/,Micrometres (microns),um
5,http://vocab.nerc.ac.uk/collection/P06/current/UNPG/,Number per gram,number g-1
6,http://vocab.nerc.ac.uk/collection/P06/current/MMPD/,Millimetres per day,mm day-1
7,http://vocab.nerc.ac.uk/collection/P06/current/PAPM/,Pascals per metre,Pa m-1
8,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/,Micrograms per millilitre,ug ml-1
9,http://vocab.nerc.ac.uk/collection/P06/current/UPAM/,Picoamps per micromole per litre,pA umol-1 l-1
10,http://vocab.nerc.ac.uk/collection/P06/current/UMPM/,Micromoles per mole,umol mol-1
11,http://vocab.nerc.ac.uk/collection/P06/current/UPVT/,Picomoles per cubic metre per second,pmol m-3 s-1
12,http://vocab.nerc.ac.uk/collection/P06/current/PMLD/,Picomoles per litre per day,pmol l-1 day-1
13,http://vocab.nerc.ac.uk/collection/P06/current/MGSS/,Milligrams per square metre per second,mg m-2 s-1
14,http://vocab.nerc.ac.uk/collection/P06/current/USUM/,Square microns per millilitre,um2 ml-1
15,http://vocab.nerc.ac.uk/collection/P06/current/JMSQ/,Joules per square metre,J m-2
16,http://vocab.nerc.ac.uk/collection/P06/current/UHOR/,Hours,hour
17,http://vocab.nerc.ac.uk/collection/P06/current/UNSM/,Newtons per square metre,N m-2
18,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,Metres,m
19,http://vocab.nerc.ac.uk/collection/P06/current/MEKG/,MilliEquivalents per kilogram,milliEquivalents kg-1
20,http://vocab.nerc.ac.uk/collection/P06/current/UUML/,Microlitres per litre,ul l-1
